rainfall_mm,soil_moisture_%,distance_of_rain_km,temperature_C,humidity_%,flood_occured
166.8988795,58.3644141,31.75368604,17.44958312,33.03817727,1
29.78828419,44.101455099999995,0.0,17.43688184,63.46184908,0
33.85936922,47.7826162,204.6484728,14.06278346,39.43921,0
26.92736916,47.1635642,66.46736822,19.23564748,42.99042743,0
223.3317249,56.35847939999999,0.0,17.96028372,88.19135313,0
300.0,58.973969000000004,123.5718445,18.54071526,36.89182777,1
23.03377525,45.7685132,279.2687967,16.73959008,70.5999375,0
18.09772933,47.1557296,280.2368578,25.94047851,70.20150998,0
4.438939929,45.323515199999996,3.072271626,16.47363457,52.86839659,0
279.5088498,58.5630522,84.28123382,29.27571371,61.5391905,1
4.765728478,45.865853,0.0,31.66542624,83.53246119,0
19.69402894,46.724136300000005,35.70126452,28.98087265,34.78060345,0
187.85008,61.0911852,0.0,26.3877981,67.89285746,1
189.3856845,56.236990600000006,63.86362411,19.03455765,65.70699396,1
300.0,56.873211999999995,192.4617528,28.22007045,29.14950976,1
28.43071313,48.0420132,86.98535597,14.20735844,63.0276601,0
0.0,47.499752099999995,352.2156162,21.44776628,52.84161414,0
14.58744093,44.3565761,243.7933746,23.2196961,58.39312553,0
178.4910367,57.073512199999996,177.9318137,23.65488666,46.56768016,1
43.03183672,46.7824528,315.8908698,29.55754512,79.9522827,0
26.05891007,47.762016,205.4242071,23.31728949,28.95307971,0
275.1394398,59.9159534,271.6273073,24.72648899,90.68836623,1
274.0092701,56.486959299999995,115.5002127,15.19390019,51.14560697,0
35.36849168,47.7219809,0.0,23.49578145,31.81928685,0
219.3158072,56.3547998,200.9271627,23.94966766,43.86590175,0
37.12821865,45.24626,137.64833,20.84242763,58.39434416,0
45.55412136,46.0921584,192.1285202,23.13439943,67.91028553,0
0.0,45.1248903,37.01462563,15.99880753,58.28730335,0
14.27814397,47.2727546,295.8545104,22.81104475,31.6499582,0
293.7788556,59.0513553,353.4221103,26.65204831,63.44445795,0
243.3018897,58.1407183,53.56942141,21.10577679,82.49305044,1
27.70182478,46.5175375,5.399061761,24.74597031,58.8329173,0
254.6023858,57.371441000000004,267.6462649,21.87804189,83.29298215,1
20.66650355,45.592712,36.93438716,22.19089174,72.78413812,0
280.1626394,61.313749200000004,0.0,30.51109415,90.27973877,0
298.3133078,60.9975767,230.5995048,20.99651517,30.87876032,1
162.7879435,57.972531000000004,100.5921549,16.03477828,89.36010333,0
14.11793335,46.1022947,157.6745626,26.94534765,56.97412906,0
43.76736348,46.2604484,54.2343003,22.91560005,49.18147607,0
23.89671537,47.5364451,293.7563811,28.18068371,67.59747854,0
37.67060352,44.162477,202.9229427,18.19821941,64.98488661,0
27.11093213,45.7760581,0.0,18.71399624,47.35884603,0
274.1397645,61.624331399999996,15.75625153,18.98137081,30.89729957,1
230.5210054,61.610964300000006,145.973466,18.57861253,35.22799929,1
279.9508784,60.3323386,359.2777201,13.25747977,72.93348535,1
166.0094802,57.5910837,5.93025422,24.18291086,69.7287593,1
238.3417019,55.997631999999996,66.65552683,17.27313243,88.83025007,1
155.9114117,57.002611400000006,0.0,15.80139354,80.85165746,1
0.343053459,44.7185829,0.0,28.26111847,76.37496283,0
31.71343945,47.554156,242.7035092,15.81565208,49.29976812,0
45.17742623,47.646721199999995,172.9464025,31.40973166,80.5184307,0
294.4893055,56.017733899999996,0.0,21.77512255,80.25919989,1
0.0,46.223281,0.0,14.74928359,71.2235283,0
300.0,61.616506699999995,0.0,31.24492281,91.85147151,1
16.15990768,46.302042199999995,89.97986184,17.650313,61.03013945,0
35.05733575,45.318438900000004,183.1033738,13.59911584,89.92193188,0
264.0802312,57.3913997,124.414962,14.67711552,32.37804375,0
0.0,46.8522518,296.2242715,24.1353388,30.68772281,0
256.0900081,60.7999931,77.01917271,15.1498641,36.30435635,1
31.54853453,45.354413199999996,224.6529395,21.26326822,91.83433191,0
17.13026174,45.249945600000004,351.3295014,27.70586316,58.88904909,0
200.5556917,56.0699086,346.8801871,21.48886381,56.15590932,1
214.6175444,58.9588345,265.5452087,23.4914318,81.23735492,1
288.5366627,59.972471299999995,0.0,19.7914941,67.05394808,1
0.0,48.0408946,228.4942991,24.79912266,75.47545343,0
280.7706906,60.0096658,32.40118137,26.43410713,82.37505912,1
0.0,46.477096,243.8777004,31.51451214,47.80551937,0
35.45445507,46.742514899999996,276.3864835,31.69520755,78.94219654,0
42.27429211,45.472488999999996,195.8940188,21.30388055,74.12630071,0
0.0,46.9370943,235.0710934,22.81853503,76.93687559,0
157.7332838,61.0078138,366.466506,31.50098368,53.69362256,0
19.45667282,46.327473499999996,0.0,17.87472921,35.94637947,0
152.4972708,59.5556945,68.91636646,28.75463828,36.28884507,1
259.7602036,57.159269099999996,20.50319663,16.42435028,83.34463369,1
299.7764893,56.28792179999999,0.0,17.82560699,40.81533736,1
278.3844096,58.6119925,123.1574351,29.34845715,83.88744959,1
266.0624649,55.9770742,220.6850867,30.98575449,54.35170297,1
174.6821319,59.50959460000001,9.764626238,13.7241589,47.67221164,1
28.03584268,47.0877757,104.6536955,27.23937058,69.9029953,0
275.7545093,60.8134948,78.07406044,20.6134395,39.03551102,1
31.41399031,45.0991947,141.7817237,27.03856135,53.4446089,0
247.9527667,61.2041469,283.7321287,23.54173902,62.06089775,1
21.90459859,47.8193316,143.3042558,31.09494251,41.95222689,0
300.0,57.389163200000006,235.4618899,31.41400046,28.8668824,1
40.19175305,47.3164307,0.0,25.02978935,63.02920657,0
30.29323638,47.8142915,54.31384146,25.57711581,85.48499077,0
210.8470406,58.659034,0.0,27.80513881,42.72787837,1
18.73199151,45.9051702,21.14514453,21.23246456,90.46065404,0
35.03858108,46.9511559,196.3596447,16.20964678,34.00564635,0
3.190770452,46.781887100000006,363.388859,25.97864197,72.37033358,0
28.18245808,45.3243205,208.1517427,24.82914936,34.73817249,0
8.654728249,44.952086,1.068050788,31.14282172,34.72943097,0
18.44468896,46.6888168,0.0,13.55583724,91.88627943,0
7.751325334,46.8196866,299.8810497,21.3493006,38.87460353,0
